На 01 июля 2019 года;;;;;;;;;;;;;
Листинг;Дата включения в список;Эмитент;ИНН;Ценная бумага;Тип ценной бумаги;Гос. рег. номер;Дата регистрации;Номинал;Объем;Торговый код;Дата погашения;Дата обращения;Предназначение для квалинвесторов
Первый уровень;09.06.2014;"АО ""Россельхозбанк""";7725114488;облигации неконвертируемые процентные документарные на предъявителя, с обязательным централизованным хранением, серии 08;Облигация корпоративная;40803349B;16.10.2009;1000;5 000 000;RU000A0JQK64;14.11.2019;;
Первый уровень;09.06.2014;"АО ""Россельхозбанк""";7725114488;облигации документарные на предъявителя с обязательным централизованным хранением  неконвертируемые процентные серии 21;Облигация корпоративная;42103349B;08.02.2013;1000;10 000 000;RU000A0JU1Q8;18.07.2023;;
Первый уровень;09.06.2014;"АО ""Россельхозбанк""";7725114488;неконвертируемые процентные документарные облигации на предъявителя, с обязательным централизованным хранением, с возможностью досрочного погашения, размещаемые путем открытой подписки, серии 14;Облигация корпоративная;41403349B;11.02.2011;1000;10 000 000;RU000A0JRLE8;29.06.2021;;
Первый уровень;09.06.2014;"АО ""Россельхозбанк""";7725114488;облигации документарные на предъявителя с обязательным централизованным хранением неконвертируемые процентные серии 23;Облигация корпоративная;42303349B;08.02.2013;1000;5 000 000;RU000A0JUAD7;10.11.2023;;
Первый уровень;09.06.2014;"АО ""Россельхозбанк""";7725114488;Облигации документарные процентные неконвертируемые на предъявителя, с обязательным централизованным хранением, серии 18;Облигация корпоративная;41803349B;08.02.2012;1000;5 000 000;RU000A0JT874;13.10.2022;;
Первый уровень;09.06.2014;"АО ""Управление отходами - НН""";5260278039;облигации процентные документарные неконвертируемые на предъявителя с обязательным централизованным хранением серии 01;Облигация корпоративная;4-01-20453-P;20.03.2012;1000;1 150 000;RU000A0JS9X1;15.06.2022;;
Первый уровень;09.06.2014;"АО ""Управление отходами""";7725727149;документарные неконвертируемые процентные облигации на предъявителя серии 01 с обязательным централизованным хранением;Облигация корпоративная;4-01-76600-H;24.10.2013;1000;2 800 000;RU000A0JU9K4;07.05.2024;;
Первый уровень;09.06.2014;Банк ВТБ (ПАО);7702070139;документарные процентные неконвертируемые Биржевые облигации на предъявителя серии БО-43 с обязательным централизованным хранением;Облигация биржевая;4B024301000B;22.08.2013;1000;20 000 000;RU000A0JU773;29.09.2023;;
Первый уровень;09.06.2014;Банк ВТБ (ПАО);7702070139;Акции обыкновенные;Акция обыкновенная;10401000B;29.09.2006;0.01;12 960 541 337 338;VTBR;;;
Первый уровень;09.06.2014;Евразийский банк развития;9909220306;Документарные процентные неконвертируемые облигации серии 08 на предъявителя с обязательным централизованным хранением, размещаемые путем открытой подписки;Облигации иностранного эмитента;;;1000;5 000 000;RU000A0JS900;07.10.2020;;
Первый уровень;09.06.2014;Евразийский банк развития;9909220306;Документарные процентные неконвертируемые облигации серии 05 на предъявителя с обязательным централизованным хранением, размещаемые путем открытой подписки;Облигации иностранного эмитента;;21.08.2012;1000;5 000 000;RU000A0JS8X3;15.07.2020;;
Первый уровень;09.06.2014;Евразийский банк развития;9909220306;Документарные процентные неконвертируемые облигации серии 06 на предъявителя с обязательным централизованным хранением, размещаемые путем открытой подписки;Облигации иностранного эмитента;;21.08.2012;1000;5 000 000;RU000A0JS8Y1;23.09.2020;;
Первый уровень;09.06.2014;Евразийский банк развития;9909220306;Документарные процентные неконвертируемые облигации серии 07 на предъявителя с обязательным централизованным хранением, размещаемые путем открытой подписки;Облигации иностранного эмитента;;21.08.2012;1000;5 000 000;RU000A0JS8Z8;23.09.2020;;
Первый уровень;09.06.2014;Евразийский банк развития;9909220306;документарные процентные неконвертируемые облигации серии 09 на предъявителя с обязательным централизованным хранением;Облигации иностранного эмитента;;;1000;5 000 000;RU000A0JS918;24.05.2021;10.06.2014;
Первый уровень;09.06.2014;Минфин Нижегородской области;5200000021;государственные облигации Нижегородской области с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34009NJG0;16.08.2013;1000;10 000 000;RU000A0JU3B6;26.08.2020;;
Первый уровень;09.06.2014;Минфин России;7710168360;Облигации федерального займа с постоянным купонным доходом;Облигация федерального займа;26207RMFS;14.02.2012;1000;350 000 000;SU26207RMFS9;03.02.2027;;
Первый уровень;09.06.2014;Минфин России;7710168360;Облигации федерального займа с амортизацией долга;Облигация федерального займа;46018RMFS;09.03.2005;1000;113 743 246;SU46018RMFS6;24.11.2021;;
Первый уровень;09.06.2014;Минфин России;7710168360;Облигации федерального займа с амортизацией долга;Облигация федерального займа;46020RMFS;09.02.2006;1000;52 299 927;SU46020RMFS2;06.02.2036;;
Первый уровень;09.06.2014;Минфин России;7710168360;Облигации внешнего облигационного займа (доллары США);Еврооблигация;SK-0-CM-128;25.08.2000;1;6 965 979 370;XS0114288789;01.04.2030;;
Первый уровень;09.06.2014;Минфин России;7710168360;Государственные облигации внешнего облигационного займа РФ Министерства финансов Российской Федерации;Еврооблигация;12840060V;05.04.2012;200000;10 000;XS0767472458;04.04.2022;;
Первый уровень;09.06.2014;Минфин России;7710168360;облигации федерального займа с постоянным купонным доходом;Облигация федерального займа;26210RMFS;13.12.2012;1000;150 000 000;SU26210RMFS3;11.12.2019;;
Первый уровень;09.06.2014;Минфин России;7710168360;Облигации федерального займа с амортизацией долга;Облигация федерального займа;46022RMFS;17.01.2008;1000;44 295 915;SU46022RMFS8;19.07.2023;;
Первый уровень;09.06.2014;Минфин России;7710168360;облигации федерального займа с постоянным купонным доходом;Облигация федерального займа;26209RMFS;26.07.2012;1000;403 881 815;SU26209RMFS5;20.07.2022;;
Первый уровень;09.06.2014;Минфин России;7710168360;Облигации федерального займа с амортизацией долга;Облигация федерального займа;46012RMFS;12.02.2003;1000;11 189;SU46012RMFS9;05.09.2029;;
Первый уровень;09.06.2014;Минфин России;7710168360;облигации федерального займа с постоянным купонным доходом;Облигация федерального займа;26211RMFS;10.01.2013;1000;150 000 000;SU26211RMFS1;25.01.2033;;
Первый уровень;09.06.2014;Минфин России;7710168360;Облигации внешнего облигационного займа (доллары США);Еврооблигация;MK-0-CM-119;24.06.1998;1000;2 500 000;XS0088543193;26.06.2028;;
Первый уровень;09.06.2014;Минфин России;7710168360;Государственные облигации внешнего облигационного займа РФ Министерства финансов Российской Федерации;Еврооблигация;12840061V;05.04.2012;200000;15 000;XS0767473852;04.04.2042;;
Первый уровень;09.06.2014;Минфин России;7710168360;Государственные облигации внешнего облигационного займа РФ;Еврооблигация;12840044V;30.04.2010;100000;35 000;XS0504954347;29.04.2020;;
Первый уровень;09.06.2014;Минфин России;7710168360;Облигации федерального займа с амортизацией долга;Облигация федерального займа;46023RMFS;03.08.2011;1000;295 000 000;SU46023RMFS6;23.07.2026;;
Первый уровень;09.06.2014;Минфин России;7710168360;облигации федерального займа с постоянным купонным доходом;Облигация федерального займа;26212RMFS;17.01.2013;1000;358 927 588;SU26212RMFS9;19.01.2028;;
Первый уровень;09.06.2014;Минфин России;7710168360;Государственные облигации внешнего облигационного займа РФ Министерства финансов Российской Федерации;Еврооблигация;12978070V;18.09.2013;100000;7 500;XS0971722342;16.09.2020;;
Первый уровень;09.06.2014;Минфин России;7710168360;Государственные облигации внешнего облигационного займа РФ Министерства финансов Российской Федерации;Еврооблигация;12840069V;18.09.2013;200000;7 500;XS0971721963;16.09.2043;;
Первый уровень;09.06.2014;Минфин России;7710168360;облигации федерального займа с постоянным купонным доходом;Облигация федерального займа;26214RMFS;03.06.2013;1000;350 000 000;SU26214RMFS5;27.05.2020;;
Первый уровень;09.06.2014;Минфин России;7710168360;Облигации федерального займа с постоянным купонным доходом;Облигация федерального займа;26215RMFS;29.08.2013;1000;260 885 454;SU26215RMFS2;16.08.2023;;
Первый уровень;09.06.2014;Минфин России;7710168360;Государственные облигации внешнего облигационного займа РФ Министерства финансов Российской Федерации;Еврооблигация;12840068V;18.09.2013;200000;15 000;XS0971721450;16.09.2023;;
Первый уровень;09.06.2014;Минфин России;7710168360;Облигации федерального займа с амортизацией долга;Облигация федерального займа;46011RMFS;12.02.2003;1000;19 297;SU46011RMFS1;20.08.2025;;
Первый уровень;09.06.2014;Минфин России;7710168360;Облигации федерального займа с постоянным купонным доходом;Облигация федерального займа;26205RMFS;08.04.2011;1000;150 000 000;SU26205RMFS3;14.04.2021;;
Первый уровень;09.06.2014;МУФ СО;6315802231;государственные облигации Самарской области 2013 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35009SAM0;18.07.2013;1000;8 300 000;RU000A0JU2H5;31.07.2020;;
Первый уровень;09.06.2014;МФ СК;2634038135;государственные облигации Ставропольского края 2013 года (в форме документарных ценных бумаг на предъявителя) с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34002STV0;29.10.2013;1000;5 000 000;RU000A0JU9G2;04.11.2020;;
Первый уровень;09.06.2014;Мэрия города Новосибирска;5406285846;муниципальные облигации города Новосибирска 2013 года (в форме документарных ценных бумаг на предъявителя) с фиксированным купонным доходом и амортизацией долга;Облигация муниципальная;RU35006NSB1;22.07.2013;1000;5 000 000;RU000A0JU1T2;22.07.2020;;
Первый уровень;09.06.2014;"ПАО ""Акрон""";5321029508;акции обыкновенные;Акция обыкновенная;1-03-00207-A;10.11.2005;5;40 534 000;AKRN;;;
Первый уровень;09.06.2014;"ПАО ""Аэрофлот""";7712040126;Акции обыкновенные;Акция обыкновенная;1-01-00010-A;23.01.2004;1;1 110 616 299;AFLT;;;
Первый уровень;09.06.2014;"ПАО ""Газпром""";7736050003;Акции обыкновенные;Акция обыкновенная;1-02-00028-A;30.12.1998;5;23 673 512 900;GAZP;;;
Первый уровень;09.06.2014;"ПАО ""ГМК ""Норильский никель""";8401005730;акция обыкновенная бездокументарная именная;Акция обыкновенная;1-01-40155-F;12.12.2006;1;158 245 476;GMKN;;;
Первый уровень;09.06.2014;"ПАО ""Группа Компаний ПИК""";7713011336;Акции обыкновенные;Акция обыкновенная;1-02-01556-A;10.11.1998;62.5;660 497 344;PIKK;;;
Первый уровень;09.06.2014;"ПАО ""Группа ЛСР""";7838360491;Акции обыкновенные;Акция обыкновенная;1-01-55234-E;28.09.2006;0.25;103 030 215;LSRG;;;
Первый уровень;09.06.2014;"ПАО ""ЛУКОЙЛ""";7708004767;Акции обыкновенные;Акция обыкновенная;1-01-00077-A;25.06.2003;0.025;750 000 000;LKOH;;;
Первый уровень;09.06.2014;"ПАО ""М.видео""";7707602010;Акции обыкновенные;Акция обыкновенная;1-02-11700-A;23.08.2007;10;179 768 227;MVID;;;
Первый уровень;09.06.2014;"ПАО ""Магнит""";2309085638;акции обыкновенные именные бездокументарные;Акция обыкновенная;1-01-60525-P;04.03.2004;0.01;101 911 355;MGNT;;;
Первый уровень;09.06.2014;"ПАО ""Мечел""";7703370008;акции обыкновенные;Акция обыкновенная;1-01-55005-E;29.04.2003;10;416 270 745;MTLR;;;
Первый уровень;09.06.2014;"ПАО ""Мечел""";7703370008;акции привилегированные;Акция привилегированная;2-01-55005-E;05.06.2008;10;138 756 915;MTLRP;;;
Первый уровень;09.06.2014;"ПАО ""Мосэнерго""";7705035012;обыкновенные именные бездокументарные акции;Акция обыкновенная;1-01-00085-A;17.06.2003;1;39 749 359 700;MSNG;;;
Первый уровень;09.06.2014;"ПАО ""МТС""";7740000076;биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-01;Облигация биржевая;4B02-01-04715-A;14.03.2013;1000;10 000 000;RU000A0JTTA5;22.03.2023;;
Первый уровень;09.06.2014;"ПАО ""МТС""";7740000076;Документарные процентные неконвертируемые облигации на предъявителя серии 08 с обязательным централизованным хранением;Облигация корпоративная;4-08-04715-A;06.05.2010;1000;15 000 000;RU000A0JR4J2;03.11.2020;;
Первый уровень;09.06.2014;"ПАО ""МТС""";7740000076;Акции обыкновенные;Акция обыкновенная;1-01-04715-A;22.01.2004;0.1;1 998 381 575;MTSS;;;
Первый уровень;09.06.2014;"ПАО ""НК ""Роснефть""";7706107510;Акции обыкновенные;Акция обыкновенная;1-02-00122-A;29.09.2005;0.01;10 598 177 817;ROSN;;;
Первый уровень;09.06.2014;"ПАО ""НОВАТЭК""";6316031581;акции обыкновенные;Акция обыкновенная;1-02-00268-E;20.07.2006;0.1;3 036 306 000;NVTK;;;
Первый уровень;09.06.2014;"ПАО ""Россети""";7728662669;акции привилегированные;Акция привилегированная;2-01-55385-E;29.07.2008;1;2 075 149 384;RSTIP;;;
Первый уровень;09.06.2014;"ПАО ""Ростелеком""";7707049388;Акции обыкновенные именные бездокументарные;Акция обыкновенная;1-01-00124-A;09.09.2003;0.0025;2 574 914 954;RTKM;;;
Первый уровень;09.06.2014;"ПАО ""Ростелеком""";7707049388;Акции привилегированные именные бездокументарные;Акция привилегированная;2-01-00124-A;09.09.2003;0.0025;209 565 147;RTKMP;;;
Первый уровень;09.06.2014;"ПАО ""Ростелеком""";7707049388;Биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-01;Облигация биржевая;4B02-01-00124-A;02.05.2012;1000;5 000 000;RU000A0JVFC6;16.05.2025;29.05.2015;
Первый уровень;09.06.2014;"ПАО ""РусГидро""";2460066195;Неконвертируемые процентные документарные облигации на предъявителя серии 07 с обязательным централизованным хранением;Облигация корпоративная;4-07-55038-E;27.12.2012;1000;10 000 000;RU000A0JTMG7;02.02.2023;;
Первый уровень;09.06.2014;"ПАО ""РусГидро""";2460066195;Неконвертируемые процентные документарные облигации на предъявителя серии 08 с обязательным централизованным хранением;Облигация корпоративная;4-08-55038-E;27.12.2012;1000;10 000 000;RU000A0JTMK9;02.02.2023;;
Первый уровень;09.06.2014;"ПАО ""РусГидро""";2460066195;Акции обыкновенные;Акция обыкновенная;1-01-55038-E;22.02.2005;1;426 288 813 551;HYDR;;;
Первый уровень;09.06.2014;"ПАО ""Северсталь""";3528000597;Акции обыкновенные;Акция обыкновенная;1-02-00143-A;30.11.2004;0.01;837 718 660;CHMF;;;
Первый уровень;09.06.2014;"ПАО ""Селигдар""";1402047184;акции привилегированные;Акция привилегированная;2-01-32694-F;28.12.2011;1;150 000 000;SELGP;;;
Первый уровень;09.06.2014;"ПАО ""Селигдар""";1402047184;Акции обыкновенные;Акция обыкновенная;1-01-32694-F;23.05.2007;1;842 354 730;SELG;;;
Первый уровень;09.06.2014;"ПАО ""Совкомбанк""";4401116480;облигации документарные процентные неконвертируемые на предъявителя серии 02 с обязательным централизованным хранением;Облигация корпоративная;40200963B;10.04.2013;1000;2 000 000;RU000A0JTZ49;24.06.2021;;
Первый уровень;09.06.2014;"ПАО ""Татнефть"" им. В.Д. Шашина";1644003838;Акции обыкновенные;Акция обыкновенная;1-03-00161-A;26.10.2001;1;2 178 690 700;TATN;;;
Первый уровень;09.06.2014;"ПАО ""Татнефть"" им. В.Д. Шашина";1644003838;Акции привилегированные;Акция привилегированная;2-03-00161-A;26.10.2001;1;147 508 500;TATNP;;;
Первый уровень;09.06.2014;"ПАО ""ТГК-1""";7841312071;Акции обыкновенные;Акция обыкновенная;1-01-03388-D;17.05.2005;0.01;3 854 341 416 571,43;TGKA;;;
Первый уровень;09.06.2014;"ПАО ""ТМК""";7710373095;акции обыкновенные;Акция обыкновенная;1-01-29031-H;26.07.2001;10;1 033 135 366;TRMK;;;
Первый уровень;09.06.2014;"ПАО ""Транснефть""";7706061801;Неконвертируемые процентные документарные облигации на предъявителя серии 03 с обязательным централизованным хранением;Облигация корпоративная;4-03-00206-A;11.09.2009;1000;65 000 000;RU000A0JQCR1;18.09.2019;;
Первый уровень;09.06.2014;"ПАО ""Транснефть""";7706061801;акции привилегированные;Акция привилегированная;2-01-00206-A;20.12.2007;1;1 554 875;TRNFP;;;
Первый уровень;09.06.2014;"ПАО ""ФосАгро""";7736216869;акции обыкновенные;Акция обыкновенная;1-02-06556-A;14.02.2012;2.5;129 500 000;PHOR;;;
Первый уровень;09.06.2014;"ПАО ""ФСК ЕЭС""";4716016979;Акции обыкновенные;Акция обыкновенная;1-01-65018-D;10.09.2002;0.5;1 274 665 323 063;FEES;10.09.2002;;
Первый уровень;09.06.2014;"ПАО ""Энел Россия""";6671156423;обыкновенные бездокументарные именные акции;Акция обыкновенная;1-01-50077-A;24.12.2004;1;35 371 898 370;ENRU;;;
Первый уровень;09.06.2014;"ПАО АНК ""Башнефть""";0274051582;документарные процентные неконвертируемые облигации на предъявителя серии 09 с обязательным централизованным хранением;Облигация корпоративная;4-09-00013-A;27.09.2012;1000;5 000 000;RU000A0JTM51;31.01.2023;;
Первый уровень;09.06.2014;"ПАО АНК ""Башнефть""";0274051582;документарные процентные неконвертируемые облигации на предъявителя серии 07 с обязательным централизованным хранением;Облигация корпоративная;4-07-00013-A;27.09.2012;1000;10 000 000;RU000A0JTM36;31.01.2023;;
Первый уровень;09.06.2014;"ПАО АНК ""Башнефть""";0274051582;документарные процентные неконвертируемые облигации на предъявителя серии 06 с обязательным централизованным хранением;Облигация корпоративная;4-06-00013-A;27.09.2012;1000;10 000 000;RU000A0JTM28;31.01.2023;;
Первый уровень;09.06.2014;"ПАО АНК ""Башнефть""";0274051582;документарные процентные неконвертируемые облигации на предъявителя серии 08 с обязательным централизованным хранением;Облигация корпоративная;4-08-00013-A;27.09.2012;1000;5 000 000;RU000A0JTM44;31.01.2023;;
Первый уровень;09.06.2014;"ПАО АФК ""Система""";7703104630;Акции обыкновенные именные бездокументарные;Акция обыкновенная;1-05-01669-A;01.11.2007;0.09;9 650 000 000;AFKS;;;
Первый уровень;09.06.2014;"ПАО Банк ""ФК Открытие""";7706092528;Биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-07;Облигация биржевая;4B020702209B;30.04.2014;1000;5 000 000;RU000A0JV573;13.01.2022;22.01.2015;
Первый уровень;09.06.2014;ПАО Московская Биржа;7702077840;акции обыкновенные;Акция обыкновенная;1-05-08443-H;16.09.2011;1;2 276 401 458;MOEX;;;
Первый уровень;09.06.2014;ПАО Сбербанк;7707083893;Акции обыкновенные;Акция обыкновенная;10301481B;11.07.2007;3;21 586 948 000;SBER;;;
Первый уровень;09.06.2014;ПАО Сбербанк;7707083893;Акции привилегированные;Акция привилегированная;20301481B;11.07.2007;3;1 000 000 000;SBERP;;;
Первый уровень;09.06.2014;Правительство Белгородской области;3124016792;государственные облигации Белгородской области 2013 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35007BEL0;15.07.2013;1000;3 500 000;RU000A0JU286;28.07.2020;;
Первый уровень;09.06.2014;Правительство Москвы;7710152113;облигации сорок восьмого выпуска Городского облигационного (внутреннего) займа Москвы;Облигация субфедеральная;RU32048MOS0;14.11.2006;1000;30 000 000;RU000A0JNYN1;11.06.2022;;
Первый уровень;09.06.2014;Правительство Республики Башкортостан;0274033209;облигации государственного облигационного (внутреннего) займа Республики Башкортостан 2013 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34008BAS0;20.09.2013;1000;5 000 000;RU000A0JU674;18.09.2020;;
Первый уровень;09.06.2014;Яндекс Н.В. (Yandex N.V.);0010034514;"Обыкновенные именные бездокументарные акции класса ""A""";Акции иностранного эмитента;;;0.01;292 567 655;YNDX;;;
Первый уровень;11.06.2014;Лента Лтд. (Lenta Ltd.);0010034238;Глобальные депозитарные расписки, представляющие обыкновенные акции Лента Лтд.;Депозитарные расписки иностранного эмитента на акции;;;;487 084 815;LNTA;;;
Первый уровень;20.06.2014;Минфин Оренбургской области;5610008401;государственные облигации Оренбургской области с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35002AOR0;11.06.2014;1000;6 000 000;RU000A0JUPE3;14.06.2021;23.06.2014;
Первый уровень;26.06.2014;Правительство Белгородской области;3124016792;государственные облигации Белгородской области 2014 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35008BEL0;09.06.2014;1000;5 000 000;RU000A0JUQB7;21.06.2021;30.06.2014;
Первый уровень;30.06.2014;Банк ВТБ (ПАО);7702070139;документарные процентные неконвертируемые Биржевые облигации на предъявителя серии БО-26 с обязательным централизованным хранением;Облигация биржевая;4B022601000B;22.08.2013;1000;10 000 000;RU000A0JUQE1;23.06.2020;01.07.2014;
Первый уровень;30.06.2014;ДФ ЯО;7604002902;государственные облигации Ярославской области 2014 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35013YRS0;23.06.2014;1000;7 000 000;RU000A0JUQF8;24.09.2019;01.07.2014;
Первый уровень;30.06.2014;Министерство финансов Республики Саха (Якутия);1435027673;облигации государственного займа Республики Саха (Якутия) в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35006RSY0;24.06.2014;1000;2 500 000;RU000A0JUQH4;02.07.2021;02.07.2014;
Первый уровень;02.07.2014;"ООО ""Лента""";7814148471;облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии 03;Облигация корпоративная;4-03-36420-R;07.02.2013;1000;4 000 000;RU000A0JTQB9;25.02.2020;;
Первый уровень;02.07.2014;"ООО ""Лента""";7814148471;облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии 01;Облигация корпоративная;4-01-36420-R;07.02.2013;1000;3 000 000;RU000A0JTR72;03.03.2020;;
Первый уровень;02.07.2014;"ООО ""Лента""";7814148471;облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии 02;Облигация корпоративная;4-02-36420-R;07.02.2013;1000;3 000 000;RU000A0JTR80;03.03.2020;;
Первый уровень;08.07.2014;"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""";7734202860;неконвертируемые процентные документарные биржевые облигации на предъявителя серии БО-10 с обязательным централизованным хранением;Облигация биржевая;4B021001978B;27.06.2014;1000;5 000 000;RU000A0JUQQ5;10.07.2019;11.07.2014;
Первый уровень;08.07.2014;"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""";7734202860;неконвертируемые процентные документарные биржевые облигации на предъявителя серии БО-11 с обязательным централизованным хранением;Облигация биржевая;4B021101978B;27.06.2014;1000;15 000 000;RU000A0JUQR3;10.07.2019;11.07.2014;
